week,nn,arima,average
1,28.68781011,34.25099541,36.56796325
2,27.82667688,32.74765697,51.02098009
3,24.86367534,29.50655436,38.27163859
4,22.98891271,27.65506891,33.01410924
5,21.48539051,25.49335375,29.41725115
6,20.25258806,23.16609495,27.21273507
7,19.38551302,22.00621746,24.3076876
8,17.99748851,20.56465544,21.69070225
9,16.27751914,18.12168453,19.55127871
10,15.04180704,16.26196018,17.19421133
11,13.29785605,14.2338438,14.79764778
12,11.7642879,12.49984686,12.71310594
13,10.44416539,11.00067381,10.92832823
14,8.565849923,8.950352221,8.922127459
15,6.745543645,6.983032159,7.110420039
16,5.063215926,5.124777948,5.35416437
17,2.944594181,2.974058193,3.214054364